Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Iceland	48.6	49.2	49.800000000000004	50.4	51.0	51.6	60.24	68.88	77.52	86.16	94.8	122.8	150.8	178.8	206.8	234.8	236.70000000000002	238.60000000000002	240.5	242.4	244.3	178.7	150.8	135.2	111.3	104.4	95.5	97.8	96.7
India	50.8	49.36	47.92	46.480000000000004	45.04	43.6	45.300000000000004	47.0	48.7	50.4	52.1	53.54	54.98	56.42	57.86	59.3	62.12	64.94	67.76	70.58	73.4	76.1	77.2	77.9	75.9	75.6	74.5	72.1	72.1
Indonesia	50.3	50.599999999999994	50.9	51.199999999999996	51.5	51.8	53.58	55.36	57.14	58.92	60.7	57.800000000000004	54.900000000000006	52.0	49.1	46.2	43.800000000000004	41.400000000000006	39.0	36.6	34.2	36.5	40.8	43.4	43.4	46.8	48.0	47.0	47.2
Iran	59.9	55.46	51.019999999999996	46.58	42.14	37.7	38.28	38.86	39.440000000000005	40.02	40.6	40.96	41.32	41.68	42.04	42.4	44.76	47.12	49.480000000000004	51.84	54.2	55.0	60.5	52.1	56.5	68.5	77.6	77.6	77.6
Iraq	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.04	-1.08	-1.1199999999999999	-1.16	-1.2	-0.5	-1.9	-1.4	0.3	8.8	18.8	17.9	7.0
Ireland	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	152.7	169.34	185.98	202.62	219.26	235.9	228.5	205.1	192.3	160.3	107.0	99.7	84.8	73.5
Israel	94.6	90.24	85.88	81.52	77.16	72.8	72.67999999999999	72.56	72.44	72.32000000000001	72.2	75.08	77.96	80.84	83.72	86.6	87.06	87.52	87.98	88.44	88.9	89.8	85.9	84.1	84.4	82.0	80.7	79.1	80.3
Italy	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	104.7	115.86	127.02000000000001	138.18	149.34	160.5	164.1	177.4	172.7	172.1	169.7	169.8	165.2	162.9
Jamaica	45.8	42.059999999999995	38.32	34.58	30.84	27.1	30.94	34.78	38.62	42.459999999999994	46.3	48.26	50.22	52.18	54.14	56.1	55.1	54.1	53.1	52.1	51.1	49.6	51.8	51.7	52.5	49.8	53.6	53.6	53.6
Japan	253.0	257.88	262.76	267.64	272.52	277.4	280.91999999999996	284.44	287.96	291.48	295.0	295.34	295.68	296.02	296.36	296.7	300.12	303.54	306.96	310.38	313.8	322.3	329.7	338.6	346.5	342.7	348.6	348.6	348.6
Jordan	106.3	101.6	96.89999999999999	92.19999999999999	87.5	82.8	81.98	81.16	80.34	79.52	78.7	84.9	91.10000000000001	97.30000000000001	103.5	109.7	107.68	105.66	103.64	101.61999999999999	99.6	106.5	114.3	111.7	107.4	106.0	108.2	109.2	109.2
Kazakhstan	9.5	9.5	9.5	9.5	9.5	9.5	10.06	10.620000000000001	11.18	11.74	12.3	17.64	22.98	28.32	33.66	39.0	40.28	41.56	42.839999999999996	44.12	45.4	39.3	40.2	38.3	36.1	45.7	43.3	34.3	38.2
Kenya	35.8	37.18	38.56	39.94	41.32	42.7	41.300000000000004	39.900000000000006	38.5	37.1	35.7	36.04	36.38	36.72	37.06	37.4	38.14	38.88	39.62	40.36	41.1	41.7	42.2	43.8	44.7	45.2	43.6	40.6	39.1
South Korea	49.0	48.54	48.08	47.620000000000005	47.160000000000004	46.7	51.540000000000006	56.38	61.220000000000006	66.06	70.9	81.82000000000001	92.74000000000001	103.66	114.58	125.5	130.6	135.7	140.8	145.9	151.0	153.2	155.8	155.8	162.3	166.0	169.6	170.1	176.9
Kuwait	88.8	88.8	88.8	88.8	88.8	88.8	85.12	81.44	77.76	74.08	70.4	67.38000000000001	64.36	61.34	58.32	55.3	59.3	63.3	67.3	71.3	75.3	59.4	51.4	54.3	61.1	87.0	95.8	92.5	79.9
Kyrgyzstan	25.7	25.7	25.7	25.7	25.7	25.7	23.0	20.299999999999997	17.599999999999998	14.899999999999999	12.2	12.52	12.84	13.16	13.48	13.8	13.540000000000001	13.280000000000001	13.02	12.76	12.5	11.2	12.8	14.2	15.9	19.3	18.7	20.1	22.4
Laos	5.0	5.98	6.96	7.94	8.92	9.9	9.72	9.540000000000001	9.36	9.18	9.0	8.82	8.64	8.459999999999999	8.28	8.1	11.82	15.54	19.259999999999998	22.98	26.7	26.7	26.7	26.7	26.7	26.7	26.7	26.7	26.7
Latvia	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	79.2	63.9	60.3	53.9	58.1	57.2	53.3	44.5
Lebanon	132.6	122.66	112.72	102.78	92.84	82.9	101.34	119.78	138.22	156.66	175.1	176.01999999999998	176.94	177.85999999999999	178.78	179.7	177.14	174.57999999999998	172.02	169.46	166.9	173.8	171.3	177.5	184.6	194.2	202.9	199.0	199.0
Lesotho	30.6	22.94	15.28	7.619999999999997	-0.0400000000000027	-7.7	-5.54	-3.38	-1.2199999999999998	0.9400000000000004	3.1	2.3	1.5	0.6999999999999997	-0.10000000000000009	-0.9	-1.88	-2.86	-3.8399999999999994	-4.819999999999999	-5.8	0.6	2.9	1.6	0.6	2.3	9.2	15.9	17.3
Liberia	105.6	105.6	105.6	105.6	105.6	105.6	105.6	105.6	105.6	105.6	105.6	106.32	107.03999999999999	107.76	108.48	109.2	91.48	73.76	56.040000000000006	38.32000000000001	20.6	22.3	21.6	24.0	23.0	23.4	26.1	26.1	26.1
Libya	103.5	104.4	105.3	106.2	107.1	108.0	96.54	85.08	73.62	62.160000000000004	50.7	32.260000000000005	13.82	-4.6200000000000045	-23.060000000000002	-41.5	-45.28	-49.06	-52.84	-56.62	-60.4	-114.7	-57.5	-57.9	-42.0	2.9	55.8	53.9	43.4
Lithuania	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	63.8	57.0	51.9	50.9	45.3	47.2	52.0	45.9	47.7
Luxembourg	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	128.5	147.02	165.54	184.06	202.57999999999998	221.1	209.8	204.7	188.2	193.5	193.3	195.6	193.9	189.7
