Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Ethiopia	31.4	31.7	32.0	32.3	32.6	32.9	34.54	36.18	37.82	39.46	41.1	44.120000000000005	47.14	50.160000000000004	53.18000000000001	56.2	63.800000000000004	71.4	79.0	86.6	94.2	104.7	113.8	125.8	138.7	153.1	167.6	183.5	196.0
Fiji	4.3	4.42	4.54	4.66	4.78	4.9	5.0	5.1000000000000005	5.2	5.300000000000001	5.4	5.54	5.68	5.82	5.96	6.1	6.14	6.18	6.22	6.26	6.3	6.5	6.6	6.9	7.3	7.6	7.8	8.2	8.6
Finland	144.1	143.48	142.85999999999999	142.24	141.62	141.0	148.92	156.84	164.76	172.68	180.6	185.51999999999998	190.44	195.35999999999999	200.28	205.2	206.89999999999998	208.6	210.29999999999998	212.0	213.7	219.2	216.1	214.4	213.1	214.2	220.1	225.9	231.2
France	1715.9	1738.6200000000001	1761.3400000000001	1784.06	1806.78	1829.5	1886.4	1943.3	2000.2	2057.1	2114.0	2150.82	2187.64	2224.46	2261.2799999999997	2298.1	2317.2799999999997	2336.46	2355.64	2374.82	2394.0	2446.5	2454.1	2468.3	2491.9	2519.6	2547.2	2604.8	2649.7
Gabon	18.6	19.200000000000003	19.8	20.400000000000002	21.0	21.6	21.66	21.72	21.78	21.84	21.9	22.24	22.58	22.92	23.26	23.6	23.92	24.240000000000002	24.56	24.88	25.2	27.0	28.4	30.0	31.3	32.5	33.2	33.3	33.7
Gambia	1.4	1.42	1.44	1.46	1.48	1.5	1.58	1.66	1.74	1.8199999999999998	1.9	1.96	2.02	2.08	2.14	2.2	2.3200000000000003	2.44	2.56	2.6799999999999997	2.8	2.7	2.8	2.9	2.9	3.1	3.1	3.2	3.5
Georgia	38.3	32.8	27.299999999999997	21.8	16.3	10.8	11.520000000000001	12.24	12.96	13.68	14.4	15.620000000000001	16.84	18.060000000000002	19.28	20.5	21.68	22.86	24.04	25.22	26.4	28.3	30.1	31.2	32.6	33.5	34.5	36.2	37.9
Germany	2485.2	2537.8999999999996	2590.6	2643.2999999999997	2696.0	2748.7	2803.46	2858.22	2912.98	2967.74	3022.5	3039.88	3057.26	3074.64	3092.02	3109.4	3148.7400000000002	3188.08	3227.42	3266.7599999999998	3306.1	3427.1	3444.0	3460.9	3536.2	3597.7	3678.4	3757.8	3811.3
Ghana	28.1	29.400000000000002	30.700000000000003	32.0	33.300000000000004	34.6	36.24	37.88	39.519999999999996	41.16	42.8	45.18	47.56	49.94	52.32	54.7	58.760000000000005	62.82	66.88	70.94	75.0	85.5	93.5	100.3	103.2	105.5	109.1	118.0	125.4
Greece	210.9	213.6	216.3	219.0	221.70000000000002	224.4	233.2	242.0	250.79999999999998	259.59999999999997	268.4	279.68	290.96	302.24	313.52	324.8	323.74	322.68	321.62	320.56	319.5	290.3	269.1	260.4	262.3	261.2	260.7	264.6	269.7
Grenada	0.7	0.7	0.7	0.7	0.7	0.7	0.76	0.82	0.88	0.94	1.0	1.04	1.08	1.1199999999999999	1.16	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.3	1.4	1.4	1.5	1.6
Guatemala	47.3	49.5	51.699999999999996	53.9	56.099999999999994	58.3	60.78	63.26	65.74	68.22	70.7	72.98	75.26	77.53999999999999	79.82	82.1	85.32	88.53999999999999	91.75999999999999	94.98	98.2	102.3	105.4	109.3	113.8	118.5	122.2	125.6	129.5
Guinea	8.5	8.86	9.22	9.58	9.940000000000001	10.3	10.74	11.18	11.620000000000001	12.06	12.5	12.92	13.34	13.76	14.18	14.6	15.08	15.56	16.04	16.52	17.0	17.9	19.0	19.7	20.5	21.3	23.6	26.7	29.0
Guinea-Bissau	1.6	1.6600000000000001	1.72	1.78	1.8399999999999999	1.9	1.8599999999999999	1.8199999999999998	1.78	1.74	1.7	1.72	1.74	1.76	1.78	1.8	1.8800000000000001	1.9600000000000002	2.04	2.12	2.2	2.4	2.3	2.4	2.4	2.6	2.7	2.9	3.0
